ArrayTaskID	SampleName
1	AGN001FE
2	AGN002FE
3	AGN003FE
4	AGN004FE
5	AGN005FE
6	AGN006FE
7	AGN007FE
8	AGN008FE
9	AGN009FE
10	AGN010FE
11	AGN011FE
12	AGN012FE
13	AGN013FE
14	AGN014FE
15	AGN015FE
16	AGN018FE
17	AGN019FE
18	AGN020FE
19	AGN021FE
20	AGN022FE
21	AGN023FE
22	AGN025FE
23	AGN026FE
24	AGN027FE
25	AGN028FE
26	AGN029FE
27	AGN030FE
28	AGN031FE
29	AGN032FE
30	AGN033FE
31	AGN034FE
32	AGN035FE
33	AGN036FE
34	AGN037FE
35	AGN038FE
36	AGN039FE
37	AGN040FE
38	AGN041FE
39	AGN042FE
40	AGN043FE
41	AGN044FE
42	AGN045FE
43	AGN046FE
44	AGN047FE
