ArrayTaskID	SampleName
1	AGN002GA
2	AGN003GA
3	AGN004GA
4	AGN007GA
5	AGN008GA
6	AGN009GA
7	AGN010GA
8	AGN011GA
9	AGN012GA
10	AGN014GA
11	AGN015GA
12	AGN018GA
13	AGN019GA
14	AGN022GA
15	AGN027GA
16	AGN028GA
17	AGN029GA
18	AGN031DU
19	AGN032DU
20	AGN032GA
21	AGN033DU
22	AGN033GA
23	AGN034GA
24	AGN035DU
25	AGN035GA
26	AGN036DU
27	AGN036GA
28	AGN037DU
29	AGN037GA
30	AGN038DU
31	AGN038GA
32	AGN039DU
33	AGN040DU
34	AGN041DU
35	AGN041GA
36	AGN042DU
37	AGN042GA
38	AGN043DU
39	AGN043GA
40	AGN044DU
41	AGN044GA
42	AGN045DU
43	AGN045GA
44	AGN046GA
45	AGN047DU
46	AGN047GA
